,Pais,Ciudad,Gini,ciudad pais,latlon,lat,lon
0,Austria,Vienna,0.27,Vienna Austria,N 48° 12′ 30''E 16° 22′ 19'',48.208333333333336,16.371944444444445
1,Austria,Graz,0.27,Graz Austria,N 47° 4′ 0''E 15° 27′ 0'',47.06666666666667,15.45
2,Austria,Linz,0.25,Linz Austria,N 48° 18′ 23''E 14° 17′ 10'',48.30638888888888,14.286111111111111
3,Bélgica,Antwerp,0.3,Antwerp Bélgica,N 51° 13′ 13''E 4° 24′ 0'',51.22027777777778,4.4
4,Bélgica,Gent,0.29,Gent Bélgica,N 51° 3′ 0''E 3° 43′ 0'',51.05,3.716666666666667
5,Bélgica,Liege,0.31,Liege Bélgica,N 50° 38′ 1''E 5° 34′ 3'',50.63361111111111,5.5675
6,Canada,Toronto,0.41,Toronto Canada,N 43° 42′ 23''W 79° 23′ 55'',43.70638888888889,-79.39861111111112
7,Canada,Montreal,0.35,Montreal Canada,N 45° 30′ 31''W 73° 35′ 16'',45.50861111111111,-73.58777777777777
8,Canada,Vancouver,0.4,Vancouver Canada,N 49° 14′ 58''W 123° 7′ 9'',49.24944444444444,-123.11916666666666
9,Canada,Calgary,0.45,Calgary Canada,N 51° 3′ 0''W 114° 5′ 7'',51.05,-114.08527777777778
10,Canada,Winnipeg,0.36,Winnipeg Canada,N 49° 53′ 3''W 97° 8′ 49'',49.884166666666665,-97.14694444444446
11,Canada,Hamilton,0.34,Hamilton Canada,N 43° 15′ 0''W 79° 50′ 58'',43.25,-79.84944444444444
12,Canada,London,0.35,London Canada,N 42° 59′ 0''W 81° 13′ 58'',42.983333333333334,-81.23277777777778
13,Canada,Halifax,0.34,Halifax Canada,N 44° 38′ 33''W 63° 34′ 36'',44.6425,-63.57666666666667
14,Canada,Victoria,0.35,Victoria Canada,N 48° 26′ 9''W 123° 21′ 5'',48.43583333333333,-123.35138888888888
15,Canada,Windsor,0.36,Windsor Canada,N 42° 18′ 0''W 83° 0′ 59'',42.3,-83.01638888888888
16,Canada,Saskatoon,0.36,Saskatoon Canada,N 52° 7′ 56''W 106° 40′ 8'',52.132222222222225,-106.66888888888889
17,Canada,Sherbrooke,0.3,Sherbrooke Canada,N 45° 24′ 0''W 71° 53′ 56'',45.4,-71.89888888888889
18,Francia,Paris,0.33,Paris Francia,N 48° 51′ 12''E 2° 20′ 55'',48.85333333333333,2.3486111111111114
