,AGLOMERADO,Nombre_Aglomerado,Gini_Personas,Gini_Hogares
0,2,Gran La Plata,0.4778841795745282,0.43056919230805546
25,32,Ciudad Autónoma de Buenos Aires,0.40516986314991243,0.41568856913926044
23,30,Santa Rosa-Toay,0.4353218855925638,0.41394824224209725
8,10,Gran Mendoza,0.4144826226544208,0.40437664916877303
26,33,Partidos del Gran Buenos Aires,0.4306618622155862,0.39705956520820007
28,36,Río Cuarto,0.4509618346473119,0.39121938712858073
24,31,Ushuaia-Río Grande,0.44786463266107746,0.3843914728575709
13,17,Neuquén-Plottier,0.38469461126287074,0.38276918052924935
18,23,Gran Salta,0.3892385088670868,0.38122737262951956
3,5,Gran Santa Fe,0.41564009877824437,0.3786154268093319
6,8,Gran Resistencia,0.40489856358773324,0.37243209011095435
29,38,San Nicolás-Villa Constitución,0.405869024314932,0.37214816782560456
2,4,Gran Rosario,0.3903300440298588,0.37100156759802905
10,13,Gran Córdoba,0.3823088319422563,0.37029407927349545
7,9,Comodoro Rivadavia-Rada Tilly,0.44045793778477516,0.36722830764191794
1,3,Bahía Blanca-Cerri,0.36891101925614034,0.36698280281522067
31,93,Viedma-Carmen de Patagones,0.41087125800597535,0.3665316152923336
22,29,Gran Tucumán-Tafí Viejo,0.3772490017353478,0.3649914976073043
5,7,Posadas,0.3867856888459492,0.36462118844347347
15,19,Jujuy-Palpalá,0.41615261410309057,0.36039399916276904
4,6,Gran Paraná,0.38875342042920324,0.35855611948787025
17,22,Gran Catamarca,0.3625003693247614,0.35627860291569335
30,91,Rawson-Trelew,0.38657028885866596,0.35013416227057714
16,20,Río Gallegos,0.3449226014827266,0.34563168580563886
27,34,Mar del Plata,0.3424857588895184,0.34082282114869955
12,15,Formosa,0.3530292093891719,0.33994369743402175
11,14,Concordia,0.3780151210114412,0.33879064818894156
21,27,Gran San Juan,0.3571637811349405,0.33312293006592586
9,12,Corrientes,0.3098681710867376,0.32141291298649244
20,26,Gran San Luis,0.3343495112885485,0.31992494675267913
14,18,Santiago del Estero-La Banda,0.35149278068620604,0.3058963133123689
19,25,La Rioja,0.2862797788750151,0.2947397986493391
