,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,City,Latitude,Longitude,Latitude_num,Longitude_num,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,Desigualdad_1km,Desigualdad_10km,Diferencia,P1ST
0,0,0,0,0,0,AR: Capital Federal-Ciudad de Buenos Aires,-34.613055555555555,-58.37722222222222,-34.613055555555555,-58.37722222222222,174489,50109,12,283,81,0.6095072627067566,0.5791844129562378,0.0303228497505188,3.1545454545454548
1,1,1,1,1,1,AR: Buenos Aires-La Matanza,-34.75,-58.583333333333336,-34.75,-58.583333333333336,139456,134237,8,10,4,0.6436538696289062,0.5697792768478394,0.0738745927810669,2.45
2,2,2,2,2,2,AR: Buenos Aires-Lomas de Zamora,-34.75,-58.41666666666666,-34.75,-58.41666666666666,75651,54152,7,13,9,0.6493676900863647,0.3423120975494385,0.3070555925369262,2.85
3,3,3,3,3,3,AR: Buenos Aires-Quilmes,-34.72055555555556,-58.254444444444445,-34.72055555555556,-58.254444444444445,145636,50848,14,224,83,0.4532660245895386,0.6476409435272217,0.1943749189376831,2.85
4,4,4,4,4,4,AR: Buenos Aires-Lanus,-34.666666666666664,-58.41666666666666,-34.666666666666664,-58.41666666666666,182088,107983,7,10,4,0.5807427167892456,0.8666562438011169,0.2859135270118713,2.8
5,5,5,5,5,5,AR: Buenos Aires-Almirante Brown,-34.833333333333336,-58.333333333333336,-34.833333333333336,-58.333333333333336,18633,19303,2,1,1,0.664492130279541,0.6681371927261353,0.0036450624465942,2.8
6,6,6,6,6,6,AR: Buenos Aires-Merlo,-34.665277777777774,-58.727222222222224,-34.665277777777774,-58.727222222222224,156281,43445,12,44,24,0.5481895804405212,0.7510796785354614,0.2028900980949401,3.1
7,7,7,7,7,7,AR: Buenos Aires-General San Martin,-34.573055555555555,-58.54083333333333,-34.573055555555555,-58.54083333333333,133509,47155,16,190,53,0.3589332401752472,0.649440348148346,0.2905071079730987,3.6
8,8,8,8,8,8,AR: Buenos Aires-Avellaneda,-34.666666666666664,-58.333333333333336,-34.666666666666664,-58.333333333333336,14712,16043,18,7,2,0.7202408313751221,0.6660428643226624,0.0541979670524597,2.8
9,9,9,9,9,9,AR: Buenos Aires-San Isidro,-34.49,-58.530277777777776,-34.49,-58.530277777777776,170140,53193,9,46,20,0.9447473287582396,0.7173231244087219,0.2274242043495178,3.4
10,10,10,10,10,10,AR: Buenos Aires-Tres de Febrero,-34.599722222222226,-58.56583333333333,-34.599722222222226,-58.56583333333333,172651,24921,13,27,13,0.5161727666854858,0.610959529876709,0.0947867631912231,3.0
11,11,11,11,11,11,AR: Buenos Aires-Moron,-34.651111111111106,-58.621944444444445,-34.651111111111106,-58.621944444444445,151667,53139,11,129,37,0.5063022375106812,0.534375786781311,0.0280735492706298,2.4
12,12,12,12,12,12,AR: Buenos Aires-Moreno,-34.55916666666666,-58.78861111111111,-34.55916666666666,-58.78861111111111,8848,5895,16,6,3,0.7062500715255737,0.6881694793701172,0.0180805921554565,1.9
13,13,13,13,13,13,AR: Buenos Aires-Vicente Lopez,-34.52333333333333,-58.47416666666667,-34.52333333333333,-58.47416666666667,166935,51782,10,85,22,0.7171972990036011,0.967632532119751,0.2504352331161499,3.2
14,14,14,14,14,14,AR: Buenos Aires-Florencio Varela,-34.833333333333336,-58.25,-34.833333333333336,-58.25,211,389,14,1,1,0.6453808546066284,0.6171211004257202,0.0282597541809082,2.6
15,15,15,15,15,15,AR: Buenos Aires-Tigre,-34.49444444444445,-58.62722222222222,-34.49444444444445,-58.62722222222222,104542,29313,12,40,18,0.4924207925796509,0.7720489501953125,0.2796281576156616,3.1
16,16,16,16,16,16,AR: Buenos Aires-Berazategui,-34.765277777777776,-58.21277777777778,-34.765277777777776,-58.21277777777778,202532,129505,8,43,10,0.5060124397277832,0.5333844423294067,0.0273720026016235,2.8
17,17,17,17,17,17,AR: Buenos Aires-Malvinas Argentinas,-34.5075,-58.69555555555555,-34.5075,-58.69555555555555,114048,84432,8,25,9,0.5127341151237488,0.5314677953720093,0.0187336802482604,2.8
18,18,18,18,18,18,AR: Buenos Aires-San Miguel (GBA),-34.54333333333333,-58.71222222222222,-34.54333333333333,-58.71222222222222,123026,82869,11,44,16,0.5404992699623108,0.4102478325366974,0.1302514374256134,3.0
19,19,19,19,19,19,AR: Buenos Aires-Esteban Echeverria,-34.81916666666667,-58.465833333333336,-34.81916666666667,-58.465833333333336,188269,83317,12,48,20,0.5196629762649536,0.5547806024551392,0.0351176261901855,2.4
20,20,20,20,20,20,AR: Buenos Aires-Jose C. Paz,-34.51972222222222,-58.76555555555556,-34.51972222222222,-58.76555555555556,116867,78125,11,38,6,0.7504149675369263,0.6123870611190796,0.1380279064178466,3.3
21,21,21,21,21,21,AR: Buenos Aires-Pilar,-34.45861111111111,-58.91388888888888,-34.45861111111111,-58.91388888888888,97462,34305,11,24,12,0.5259486436843872,0.68114173412323,0.1551930904388427,3.2
22,22,22,22,22,22,AR: Buenos Aires-Hurlingham (GBA),-34.59027777777778,-58.62888888888889,-34.59027777777778,-58.62888888888889,123673,24729,12,46,17,0.632225513458252,0.6857532858848572,0.0535277724266052,2.7
23,23,23,23,23,23,AR: Buenos Aires-Escobar,-34.333333333333336,-58.75,-34.333333333333336,-58.75,156774,99260,6,29,9,0.7591302394866943,0.7640369534492493,0.0049067139625549,2.7
24,24,24,24,24,24,AR: Buenos Aires-San Fernando,-34.445277777777775,-58.54194444444444,-34.445277777777775,-58.54194444444444,124783,32504,23,70,31,0.7375991344451904,0.7624788284301758,0.0248796939849853,3.1
25,25,25,25,25,25,AR: Buenos Aires-Ituzaingo,-34.66027777777778,-58.66611111111111,-34.66027777777778,-58.66611111111111,177147,91921,9,49,16,0.4916950166225433,0.610326886177063,0.1186318695545196,2.7
26,26,26,26,26,26,AR: Buenos Aires-Ezeiza,-34.82222222222222,-58.53583333333333,-34.82222222222222,-58.53583333333333,4144,1928,10,1,1,0.7375360727310181,0.7586697340011597,0.0211336612701416,2.7
27,27,27,27,27,27,AR: Salta-Salta,-24.785833333333336,-65.41166666666668,-24.785833333333336,-65.41166666666668,85220,27662,26,352,49,0.4605242609977722,0.4933170974254608,0.0327928364276886,3.0689655172413794
28,28,28,28,28,28,AR: Jujuy-Gran San Salvador de Jujuy,-23.75,-65.5,-23.75,-65.5,3083,2247,31,2,2,0.7257987260818481,0.7999513745307922,0.074152648448944,2.85
29,29,29,29,29,29,AR: Santiago del Estero-Santiago del Estero,-28.0,-63.5,-28.0,-63.5,7594,773,20,1,1,0.3604529201984405,0.4118940830230713,0.0514411628246307,3.3
30,30,30,30,30,30,AR: San Fernando del Valle de Catamarca,-28.46944444444444,-65.785,-28.46944444444444,-65.785,30421,13059,23,4,3,0.5788408517837524,0.4621418714523315,0.1166989803314209,3.2
31,31,31,31,31,31,AR: Salta-San Ramon de la Nueva Oran,-23.136944444444445,-64.32416666666666,-23.136944444444445,-64.32416666666666,51413,39220,58,41,10,0.480162501335144,0.902657389640808,0.422494888305664,3.0
32,32,32,32,32,32,AR: Jujuy-Ledesma-Libertador General San Martin,-23.81305555555556,-64.79333333333334,-23.81305555555556,-64.79333333333334,4539,1199,26,9,2,0.5406368970870972,0.837425947189331,0.2967890501022339,3.4
33,33,33,33,33,33,AR: Catamarca-Santa Maria,-26.666666666666668,-66.41666666666667,-26.666666666666668,-66.41666666666667,528,898,673,2,1,0.5692806243896484,0.6111303567886353,0.0418497323989868,2.5
34,34,34,34,34,34,AR: Tucuman-Delfin Gallo - La Florida,-26.816666666666663,-65.13333333333333,-26.816666666666663,-65.13333333333333,202542,141473,3,9,5,0.7041429877281189,0.693482518196106,0.0106604695320129,2.6
35,35,35,35,35,36,AR: Chaco-Presidencia Roque Saenz Pena,-26.79083333333333,-60.44111111111111,-26.79083333333333,-60.44111111111111,97486,74503,94,9,6,0.5810518264770508,0.5402682423591614,0.0407835841178894,3.3157894736842106
36,36,36,36,36,37,AR: Corrientes-Goya,-29.139722222222225,-59.263333333333335,-29.139722222222225,-59.263333333333335,80288,48367,25,49,12,0.5901380777359009,0.6938785314559937,0.1037404537200927,3.2
37,37,37,37,37,38,AR: Misiones-Puerto Iguazu,-25.598888888888887,-54.57333333333334,-25.598888888888887,-54.57333333333334,83567,67001,29,62,30,0.647493839263916,0.9220166802406312,0.2745228409767151,2.6
38,38,38,38,38,39,AR: Misiones-Leandro N. Alem,-27.566666666666663,-55.333333333333336,-27.566666666666663,-55.333333333333336,33422,22039,16,1,1,0.6993848085403442,0.4282959699630737,0.2710888385772705,3.0
39,39,39,39,39,40,AR: Formosa-Las Lomitas,-24.7,-60.583333333333336,-24.7,-60.583333333333336,3194,2659,21,1,1,0.6497056484222412,0.6157187223434448,0.0339869260787963,2.7
40,40,40,40,40,41,AR: Chaco-Puerto Vilelas,-27.51083333333333,-58.94166666666666,-27.51083333333333,-58.94166666666666,7782,798,23,2,2,0.7234264016151428,0.9552199244499208,0.2317935228347778,3.1
41,41,41,41,41,42,AR: Cordoba-San Roque,-31.37333333333333,-64.4675,-31.37333333333333,-64.4675,10746,4162,21,8,3,0.171226292848587,0.7887369394302368,0.6175106763839722,2.8
42,42,42,42,42,43,AR: Neuquen-Neuquen,-38.95138888888889,-68.05888888888889,-38.95138888888889,-68.05888888888889,139406,51659,26,70,41,0.5254141092300415,0.5717176198959351,0.0463035106658935,3.4
43,43,43,43,43,44,AR: Chubut-Comodoro Rivadavia,-45.8625,-67.49388888888889,-45.8625,-67.49388888888889,175022,156439,12,99,27,0.5927806496620178,0.8630331754684448,0.270252525806427,2.7
44,44,44,44,44,45,AR: Santa Cruz-Rio Gallegos,-51.6225,-69.21805555555555,-51.6225,-69.21805555555555,34963,31606,16,32,8,0.458264410495758,0.7264018058776855,0.2681373953819275,2.7
45,45,45,45,45,46,AR: Tierra del Fuego-Rio Grande,-53.7875,-67.70972222222223,-53.7875,-67.70972222222223,21372,2128,51,1,1,0.6687213182449341,0.9250597953796388,0.2563384771347046,3.3
46,46,46,46,46,47,AR: Santa Cruz-Caleta Olivia,-46.44777777777777,-67.5225,-46.44777777777777,-67.5225,27437,23204,7,3,2,0.45777428150177,0.8929795026779175,0.4352052211761474,3.0
47,47,47,47,47,48,AR: Rio Negro-Sierra Grande,-41.59166666666667,-65.33916666666666,-41.59166666666667,-65.33916666666666,21236,21473,7,1,1,0.7725284695625305,0.6033089756965637,0.1692194938659668,3.3
48,48,48,48,48,49,AR: Mendoza-Guaymallen,-32.89083333333333,-68.82694444444444,-32.89083333333333,-68.82694444444444,44292,31053,16,65,24,0.6519600749015808,0.7139525413513184,0.0619924664497375,3.2
49,49,49,49,49,50,AR: Chubut-Rawson,-43.3,-65.10222222222221,-43.3,-65.10222222222221,27373,7200,29,12,9,0.5769924521446228,0.8663474321365356,0.2893549799919128,2.6
50,50,50,50,50,51,AR: San Luis-Villa Mercedes,-33.675555555555555,-65.45777777777778,-33.675555555555555,-65.45777777777778,20198,3423,66,25,15,0.5950736999511719,0.5595905184745789,0.035483181476593,3.6
51,51,51,51,51,52,AR: San Juan-Chimbas,-31.487222222222226,-68.52666666666667,-31.487222222222226,-68.52666666666667,41535,47630,7,30,8,0.6567988395690918,0.5766246914863586,0.0801741480827331,3.2
52,52,52,52,52,53,AR: Mendoza-Lujan de Cuyo,-33.0,-69.33333333333333,-33.0,-69.33333333333333,3890,3702,35,1,1,0.8078620433807373,0.7795183658599854,0.0283436775207519,3.4
53,53,53,53,53,54,AR: La Rioja-Chamical,-30.25,-65.83333333333333,-30.25,-65.83333333333333,12300,2494,8,1,1,0.5198431611061096,0.5064350366592407,0.0134081244468688,3.5
54,54,54,54,54,55,AR: Mendoza-Perdriel,-33.07472222222223,-68.88833333333334,-33.07472222222223,-68.88833333333334,57348,66714,3,6,4,0.7554069757461548,0.6441248655319214,0.1112821102142334,3.5
55,55,55,55,55,56,AR: La Rioja-Nonogasta,-29.305,-67.50222222222222,-29.305,-67.50222222222222,12236,2516,25,27,3,0.9642971754074096,0.8812514543533325,0.0830457210540771,3.2
56,56,56,56,56,57,AR: Cordoba-Cordoba,-31.41333333333333,-64.18083333333334,-31.41333333333333,-64.18083333333334,115266,40898,17,259,84,0.6132189035415649,0.7184564471244812,0.1052375435829162,3.025
57,57,57,57,57,58,AR: Santa Fe-Gran Rosario,-32.975,-60.681666666666665,-32.975,-60.681666666666665,46610,46361,9,15,4,0.4910520017147064,0.6246674060821533,0.1336154043674469,3.125
58,58,58,58,58,59,AR: Santa Fe-Santa Fe,-32.946666666666665,-60.63916666666667,-32.946666666666665,-60.63916666666667,128698,63659,10,264,80,0.562233567237854,0.9485574960708618,0.3863239288330078,3.25
59,59,59,59,59,60,AR: Entre Rios-San Antonio de Padua de la Concordia,-31.397777777777776,-58.0225,-31.397777777777776,-58.0225,148985,152565,9,28,10,0.4668513536453247,0.8482165336608887,0.3813651800155639,2.8
60,60,60,60,60,61,AR: La Pampa-Santa Rosa,-36.61666666666667,-64.28333333333333,-36.61666666666667,-64.28333333333333,91557,26791,20,41,12,0.5619257092475891,0.7765539288520813,0.2146282196044922,2.8
61,61,61,61,61,62,AR: Cordoba-Villa Maria -Villa Nueva,-31.40833333333333,-64.18388888888889,-31.40833333333333,-64.18388888888889,107268,30696,16,334,74,0.5713831186294556,0.7146003246307373,0.1432172060012817,2.6
62,62,62,62,62,63,AR: Entre Rios-Diamante,-32.166666666666664,-60.41666666666666,-32.166666666666664,-60.41666666666666,3504,572,103,6,5,0.7350002527236938,0.7673313617706299,0.032331109046936,2.9
63,63,63,63,63,64,AR: Cordoba-Jesus Maria - Colonia Caroya,-31.65694444444444,-64.43,-31.65694444444444,-64.43,133686,109694,9,63,21,0.5764948129653931,0.5816025137901306,0.0051077008247375,3.0
64,64,64,64,64,65,AR: Santa Fe-Funes,-32.91555555555556,-60.80972222222222,-32.91555555555556,-60.80972222222222,104372,60065,11,64,19,0.5692965984344482,0.8678216934204102,0.2985250949859619,3.0
65,65,65,65,65,66,AR: Mendoza-San Jose,-32.37083333333334,-68.25583333333333,-32.37083333333334,-68.25583333333333,1147,460,77,1,1,0.4151932597160339,0.4644579887390136,0.0492647290229797,2.9
66,66,66,66,66,67,AR: Buenos Aires-25 de Mayo,-35.5,-60.25,-35.5,-60.25,7644,716,23,1,1,0.5975748896598816,0.6434630751609802,0.0458881855010986,3.3
67,67,67,67,67,69,AR: Buenos Aires-Mar de Plata-General Pueyrredon,-38.000277777777775,-57.55611111111111,-38.000277777777775,-57.55611111111111,171026,56532,14,56,25,0.5969706773757935,0.7218775153160095,0.124906837940216,3.1
68,68,68,68,68,70,AR: Buenos Aires-Gran La Plata,-34.87777777777778,-58.08361111111111,-34.87777777777778,-58.08361111111111,140955,33770,14,24,5,0.4032736420631408,0.4948152899742126,0.0915416479110717,3.15
69,69,69,69,69,71,AR: Buenos Aires-Bahia Blanca,-38.7175,-62.265277777777776,-38.7175,-62.265277777777776,52041,16938,14,100,33,0.5034093856811523,0.5387214422225952,0.0353120565414428,3.3
70,70,70,70,70,72,AR: Buenos Aires-Berisso,-34.916666666666664,-57.833333333333336,-34.916666666666664,-57.833333333333336,25429,28214,3,1,1,0.4527741074562073,0.5187245607376099,0.0659504532814025,2.8
71,71,71,71,71,73,AR: Buenos Aires-Saladillo,-35.75,-59.66666666666666,-35.75,-59.66666666666666,1951,2030,45,1,1,0.6641462445259094,0.5049351453781128,0.1592110991477966,2.5
72,72,72,72,72,74,AR: Entre Rios-Colon,-32.00361111111111,-58.36305555555556,-32.00361111111111,-58.36305555555556,1556,479,41,10,5,0.7661222219467163,0.8719784617424011,0.1058562397956848,2.8
73,73,73,73,73,75,AR: Buenos Aires-Roque Perez,-35.44499999999999,-59.410555555555554,-35.44499999999999,-59.410555555555554,4455,1062,11,3,1,0.7935671806335449,0.6816539764404297,0.1119132041931152,2.4
74,74,74,74,74,76,AR: Buenos Aires-Tres Lomas,-36.45277777777778,-62.8625,-36.45277777777778,-62.8625,15177,13148,11,6,4,0.7137187719345093,0.7345092296600342,0.0207904577255249,3.2
75,75,75,75,75,77,BO: Beni-Trinidad,-14.833333333333334,-64.9,-14.833333333333334,-64.9,23273,15868,24,80,36,0.7999178171157837,0.8338225483894348,0.0339047312736511,3.05
76,76,76,76,76,78,BO: Beni-Riberalta,-11.01,-66.0525,-11.01,-66.0525,19729,10685,37,13,3,0.5579876899719238,0.7273608446121216,0.1693731546401977,2.6
77,77,77,77,77,80,BO: Chuquisaca-Sucre,-19.03305555555556,-65.2625,-19.03305555555556,-65.2625,32212,14318,17,80,18,0.7322243452072144,0.5528284907341003,0.179395854473114,2.6875
78,78,78,78,78,81,BO: Chuquisaca-Mosoj Llajta,-19.651666666666664,-64.69944444444445,-19.651666666666664,-64.69944444444445,49197,52604,15,1,1,0.8442388772964478,0.6416388750076294,0.2026000022888183,2.9473684210526314
79,79,79,79,79,82,BO: Chuquisaca-Padcoyo,-20.4,-65.3,-20.4,-65.3,10557,4935,37,4,2,0.4833757579326629,0.6752572059631348,0.1918814480304718,2.3
80,80,80,80,80,83,BO: Cochabamba-Cochabamba,-17.389444444444443,-66.15666666666667,-17.389444444444443,-66.15666666666667,31490,22020,14,243,87,0.5764434337615967,0.8267048001289368,0.2502613663673401,2.810126582278481
81,81,81,81,81,84,BO: Cochabamba-Sacaba,-17.397777777777776,-66.03805555555556,-17.397777777777776,-66.03805555555556,23161,11718,15,61,24,0.5215163826942444,0.4316524267196655,0.0898639559745788,3.3
82,82,82,82,82,85,BO: Cochabamba-Quillacollo,-17.392222222222223,-66.27833333333334,-17.392222222222223,-66.27833333333334,22970,11926,13,118,49,0.6692070960998535,0.525664210319519,0.1435428857803344,2.55
83,83,83,83,83,86,BO: Cochabamba-Ivirgarzama,-17.050833333333333,-64.86583333333333,-17.050833333333333,-64.86583333333333,14873,6937,12,2,2,0.6504846811294556,0.7091195583343506,0.058634877204895,2.95
84,84,84,84,84,89,BO: Cochabamba-Pocona,-17.65,-65.4,-17.65,-65.4,2767,3612,131,4,1,0.517277181148529,0.4640665352344513,0.0532106459140777,2.8
85,85,85,85,85,91,BO: La Paz-La Paz,-16.5,-68.15,-16.5,-68.15,31827,12652,12,427,104,0.5237393975257874,0.5672624111175537,0.0435230135917663,2.888888888888889
86,86,86,86,86,92,BO: La Paz-El Alto,-16.513333333333332,-68.19222222222223,-16.513333333333332,-68.19222222222223,17500,8888,29,95,14,0.8162959218025208,0.9041098356246948,0.087813913822174,2.804123711340206
87,87,87,87,87,93,BO: La Paz-Patacamaya,-17.23611111111111,-67.91416666666667,-17.23611111111111,-67.91416666666667,23200,8623,11,6,5,0.6162890195846558,0.6403471231460571,0.0240581035614013,2.533333333333333
88,88,88,88,88,94,BO: La Paz-Cairoma,-16.9,-67.55,-16.9,-67.55,40808,31179,30,3,2,0.6317283511161804,0.5619298219680786,0.0697985291481018,2.789473684210526
89,89,89,89,89,95,BO: La Paz-Inquisivi,-16.95777777777778,-67.1563888888889,-16.95777777777778,-67.1563888888889,396011,424841,9,2,1,0.7966165542602539,0.6285628080368042,0.1680537462234497,2.6842105263157894
90,90,90,90,90,96,BO: La Paz-San Antonio,-15.324444444444444,-67.52194444444444,-15.324444444444444,-67.52194444444444,20602,305,589,1,1,0.3245739936828613,0.7265990972518921,0.4020251035690307,2.526315789473684
