,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,City,Latitude,Longitude,Latitude_num,Longitude_num,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,Desigualdad_1km,Desigualdad_10km,Diferencia,P1ST,Desigualdad_5km,Desigualdad_15km,Desigualdad_promedio
0,0,0,0,0,0,0,AR: Capital Federal-Ciudad de Buenos Aires,-34.613055555555555,-58.37722222222222,-34.613055555555555,-58.37722222222222,174489,50109,12,283,81,0.43526989221572876,0.4734879434108734,,3.1545454545454548,0.4571151,0.5211861,43.5269889831543
1,1,1,1,1,1,1,AR: Buenos Aires-La Matanza,-34.75,-58.583333333333336,-34.75,-58.583333333333336,139456,134237,8,10,4,0.4447482228279114,0.5006720423698425,,2.45,0.4838854,0.45039633,44.474822998046875
2,2,2,2,2,2,2,AR: Buenos Aires-Lomas de Zamora,-34.75,-58.41666666666666,-34.75,-58.41666666666666,75651,54152,7,13,9,0.4946064352989197,0.4097391963005066,,2.85,0.41363516,0.44954124,40.97391891479492
3,3,3,3,3,3,3,AR: Buenos Aires-Quilmes,-34.72055555555556,-58.254444444444445,-34.72055555555556,-58.254444444444445,145636,50848,14,224,83,0.42877164483070374,0.46873435378074646,,2.85,0.47934026,0.5204878,42.87716293334961
4,4,4,4,4,4,4,AR: Buenos Aires-Lanus,-34.666666666666664,-58.41666666666666,-34.666666666666664,-58.41666666666666,182088,107983,7,10,4,0.5123297572135925,0.4793083667755127,,2.8,0.5016115,0.4851728,47.93083572387695
5,5,5,5,5,5,5,AR: Buenos Aires-Almirante Brown,-34.833333333333336,-58.333333333333336,-34.833333333333336,-58.333333333333336,18633,19303,2,1,1,0.5423229932785034,0.4778135418891907,,2.8,0.5084028,0.41965914,41.965911865234375
6,6,6,6,6,6,6,AR: Buenos Aires-Merlo,-34.665277777777774,-58.727222222222224,-34.665277777777774,-58.727222222222224,156281,43445,12,44,24,0.41288280487060547,0.4779662489891052,,3.1,0.43936646,0.4552741,41.28828048706055
7,7,7,7,7,7,7,AR: Buenos Aires-General San Martin,-34.573055555555555,-58.54083333333333,-34.573055555555555,-58.54083333333333,133509,47155,16,190,53,0.41751039028167725,0.45835673809051514,,3.6,0.46682793,0.44347793,41.75103759765625
8,8,8,8,8,8,8,AR: Buenos Aires-Avellaneda,-34.666666666666664,-58.333333333333336,-34.666666666666664,-58.333333333333336,14712,16043,18,7,2,0.5550843477249146,0.4854224920272827,,2.8,0.53111684,0.5253577,48.5422477722168
9,9,9,9,9,9,9,AR: Buenos Aires-San Isidro,-34.49,-58.530277777777776,-34.49,-58.530277777777776,170140,53193,9,46,20,0.5579990744590759,0.49961403012275696,,3.4,0.51936585,0.49613896,49.613895416259766
10,10,10,10,10,10,10,AR: Buenos Aires-Tres de Febrero,-34.599722222222226,-58.56583333333333,-34.599722222222226,-58.56583333333333,172651,24921,13,27,13,0.47788187861442566,0.4519403278827667,,3.0,0.4507382,0.4534999,45.07381820678711
11,11,11,11,11,11,11,AR: Buenos Aires-Moron,-34.651111111111106,-58.621944444444445,-34.651111111111106,-58.621944444444445,151667,53139,11,129,37,0.4540095031261444,0.4565173387527466,,2.4,0.4717703,0.45942482,45.40095138549805
12,12,12,12,12,12,12,AR: Buenos Aires-Moreno,-34.55916666666666,-58.78861111111111,-34.55916666666666,-58.78861111111111,8848,5895,16,6,3,0.46717774868011475,0.5546930432319641,,1.9,0.47076806,0.46794975,46.7177734375
13,13,13,13,13,13,13,AR: Buenos Aires-Vicente Lopez,-34.52333333333333,-58.47416666666667,-34.52333333333333,-58.47416666666667,166935,51782,10,85,22,0.512431800365448,0.5075958967208862,,3.2,0.49617332,0.524918,49.617332458496094
14,14,14,14,14,14,14,AR: Buenos Aires-Florencio Varela,-34.833333333333336,-58.25,-34.833333333333336,-58.25,211,389,14,1,1,0.5117049217224121,0.4644430875778198,,2.6,0.45438042,0.41898608,41.89860916137695
15,15,15,15,15,15,15,AR: Buenos Aires-Tigre,-34.49444444444445,-58.62722222222222,-34.49444444444445,-58.62722222222222,104542,29313,12,40,18,0.4519495368003845,0.4924870729446411,,3.1,0.5142805,0.47166827,45.19495391845703
16,16,16,16,16,16,16,AR: Buenos Aires-Berazategui,-34.765277777777776,-58.21277777777778,-34.765277777777776,-58.21277777777778,202532,129505,8,43,10,0.4911572337150574,0.4614856541156769,,2.8,0.47258714,0.48172957,46.14856719970703
17,17,17,17,17,17,17,AR: Buenos Aires-Malvinas Argentinas,-34.5075,-58.69555555555555,-34.5075,-58.69555555555555,114048,84432,8,25,9,0.4848853647708893,0.46360304951667786,,2.8,0.4893823,0.4430526,44.305259704589844
18,18,18,18,18,18,18,AR: Buenos Aires-San Miguel (GBA),-34.54333333333333,-58.71222222222222,-34.54333333333333,-58.71222222222222,123026,82869,11,44,16,0.4302420914173126,0.42950671911239624,,3.0,0.45341417,0.43408814,42.9506721496582
19,19,19,19,19,19,19,AR: Buenos Aires-Esteban Echeverria,-34.81916666666667,-58.465833333333336,-34.81916666666667,-58.465833333333336,188269,83317,12,48,20,0.4277864992618561,0.4593633711338043,,2.4,0.45162374,0.48326495,42.778648376464844
20,20,20,20,20,20,20,AR: Buenos Aires-Jose C. Paz,-34.51972222222222,-58.76555555555556,-34.51972222222222,-58.76555555555556,116867,78125,11,38,6,0.47595909237861633,0.4454139471054077,,3.3,0.45190224,0.4667467,44.5413932800293
21,21,21,21,21,21,21,AR: Buenos Aires-Pilar,-34.45861111111111,-58.91388888888888,-34.45861111111111,-58.91388888888888,97462,34305,11,24,12,0.4445999264717102,0.47048649191856384,,3.2,0.46811953,0.43195093,43.195091247558594
22,22,22,22,22,22,22,AR: Buenos Aires-Hurlingham (GBA),-34.59027777777778,-58.62888888888889,-34.59027777777778,-58.62888888888889,123673,24729,12,46,17,0.5044651627540588,0.49470874667167664,,2.7,0.48152462,0.46190724,46.19072341918945
23,23,23,23,23,23,23,AR: Buenos Aires-Escobar,-34.333333333333336,-58.75,-34.333333333333336,-58.75,156774,99260,6,29,9,0.5384911894798279,0.5347104668617249,,2.7,0.47339523,0.45578825,45.578826904296875
24,24,24,24,24,24,24,AR: Buenos Aires-San Fernando,-34.445277777777775,-58.54194444444444,-34.445277777777775,-58.54194444444444,124783,32504,23,70,31,0.526973307132721,0.49124452471733093,,3.1,0.4735753,0.50201946,47.35752868652344
25,25,25,25,25,25,25,AR: Buenos Aires-Ituzaingo,-34.66027777777778,-58.66611111111111,-34.66027777777778,-58.66611111111111,177147,91921,9,49,16,0.5187338590621948,0.43194273114204407,,2.7,0.477201,0.4373126,43.19427490234375
26,26,26,26,26,26,26,AR: Buenos Aires-Ezeiza,-34.82222222222222,-58.53583333333333,-34.82222222222222,-58.53583333333333,4144,1928,10,1,1,0.5378181338310242,0.5284688472747803,,2.7,0.5405296,0.47286466,47.28646469116211
27,27,27,27,27,27,27,AR: Salta-Salta,-24.785833333333336,-65.41166666666668,-24.785833333333336,-65.41166666666668,85220,27662,26,352,49,0.45863136649131775,0.45545852184295654,,3.0689655172413794,0.44695294,0.46230012,44.69529342651367
28,28,28,28,28,28,28,AR: Jujuy-Gran San Salvador de Jujuy,-23.75,-65.5,-23.75,-65.5,3083,2247,31,2,2,0.5200573205947876,0.5205284357070923,,2.85,0.55846953,0.48973542,48.973541259765625
29,29,29,29,29,29,29,AR: Santiago del Estero-Santiago del Estero,-28.0,-63.5,-28.0,-63.5,7594,773,20,1,1,0.40906304121017456,0.478280633687973,,3.3,0.43056908,0.45194262,40.90630340576172
30,30,30,30,30,30,30,AR: San Fernando del Valle de Catamarca,-28.46944444444444,-65.785,-28.46944444444444,-65.785,30421,13059,23,4,3,0.4135917127132416,0.4474084675312042,,3.2,0.43492332,0.474592,41.35917282104492
31,31,31,31,31,31,31,AR: Salta-San Ramon de la Nueva Oran,-23.136944444444445,-64.32416666666666,-23.136944444444445,-64.32416666666666,51413,39220,58,41,10,0.4421028196811676,0.5335679650306702,,3.0,0.51172894,0.5104081,44.21028137207031
32,32,32,32,32,32,32,AR: Jujuy-Ledesma-Libertador General San Martin,-23.81305555555556,-64.79333333333334,-23.81305555555556,-64.79333333333334,4539,1199,26,9,2,0.4711463451385498,0.550505518913269,,3.4,0.51884943,0.49780214,47.1146354675293
33,33,33,33,33,33,33,AR: Catamarca-Santa Maria,-26.666666666666668,-66.41666666666667,-26.666666666666668,-66.41666666666667,528,898,673,2,1,0.409748375415802,0.4295918047428131,,2.5,0.3701287,0.42526975,37.01287078857422
34,34,34,34,34,34,34,AR: Tucuman-Delfin Gallo - La Florida,-26.816666666666663,-65.13333333333333,-26.816666666666663,-65.13333333333333,202542,141473,3,9,5,0.5140746235847473,0.47302067279815674,,2.6,0.48735294,0.47977304,47.302066802978516
35,35,35,35,35,35,36,AR: Chaco-Presidencia Roque Saenz Pena,-26.79083333333333,-60.44111111111111,-26.79083333333333,-60.44111111111111,97486,74503,94,9,6,0.4293205738067627,0.4664415121078491,,3.3157894736842106,0.46565175,0.4510605,42.93205642700195
