Ciudad;Gini;5km;10km;Respuestas 1;Respuestas 2;Respuestas 3;Respuestas 4;Respuestas 5;Promedio
Nantes;0,24;0,23;0,22;1;1;1;1;1;1
Calgary;0,45;0,24;0,23;10;10;10;10;10;10
Jefferson (KY);0,35;0,22;0,20;5;5;5;5;5;5
Naples;0,32;0,19;0,19;3;3;3;3;2;3
Linz;0,25;0,21;0,21;2;3;5;2;2;3
Sacramento;0,39;0,25;0,23;9;7;8;9;8;8
Saskatoon;0,36;0,25;0,25;8;8;9;9;4;8
Brevard;0,36;0,26;0,22;4;9;6;6;4;6
Greene;0,37;0,26;0,26;6;7;5;8;2;6
Hartford;0,36;0,21;0,21;3;6;7;8;4;6
Kent;0,36;0,24;0,24;7;7;9;7;4;7
Kern;0,39;0,24;0,23;8;5;7;2;3;5
Rouen;0,27;0,21;0,21;6;6;2;5;3;4
Sherbrooke;0,3;0,22;0,21;4;7;3;4;3;4
Strasbourg;0,27;0,22;0,21;4;6;4;6;3;5
Malmo;0,33;0,23;0,19;3;6;6;3;3;4
Montpellier;0,28;0,24;0,24;2;6;2;8;3;4
New Haven;0,43;0,21;0,20;6;7;5;4;3;5
Oklahoma;0,39;0,26;0,26;8;8;8;7;8;8
Padua;0,31;0,23;0,23;4;8;7;9;5;7
Polk;0,34;0,24;0,23;9;7;9;3;5;7
Pulaski;0,36;0,22;0,22;8;8;7;7;7;7
Richland;0,33;0,20;0,19;7;7;7;3;2;5
Saint-Etienne;0,25;0,23;0,22;2;4;3;8;3;4
Vienna;0,27;0,25;0,23;3;7;5;7;3;5
Oslo;0,27;0,19;0,18;2;3;2;2;3;2
Rome;0,32;0,25;0,23;3;7;2;8;3;5
Salt Lake;0,36;0,27;0,25;9;7;4;4;7;6
Rennes;0,25;0,21;0,21;3;9;2;4;5;5
Turin;0,33;0,26;0,23;5;10;5;2;9;6
